Player,Position,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Brandon Clarke,Power Forward,39,19.5,10.4,4.2,6.3,66.4,0,0.2,16.7,2,2.7,72.6,5.5,1.1,0.6,0.7,1.1,5,0
Naz Reid,Center,40,18.1,10.4,4.2,7.7,53.7,0.9,2.8,33,1.2,1.7,69.1,4.9,1,0.5,1,1.3,3,0
Shake Milton,Shooting Guard,42,23.3,10.3,4,7.9,50.3,0.9,2.2,38.7,1.5,1.8,84,3,3.4,0.4,0.2,1.4,1,0
Ivica Zubac,Center,46,29.3,10.3,4.1,6.6,61.8,0,0,0,2.1,3,70,10.5,1,0.4,1.3,1.9,17,0
Monte Morris,Point Guard,40,28.5,10.3,4,8.4,47.2,1.4,3.4,39.7,1,1.3,78.4,3.4,5.5,0.8,0.2,0.9,2,0
Caleb Martin,Small Forward,37,31.4,10.2,3.9,8.4,45.8,1.4,3.6,39.6,1,1.3,79.2,4.8,1.8,1.1,0.4,1.2,0,0
Doug McDermott,Small Forward,40,20.4,10.1,3.8,7.9,47.8,1.8,4.4,41.1,0.8,1.1,73.8,2.4,1.5,0.2,0.2,0.9,0,0
Seth Curry,Shooting Guard,33,22.4,10.1,3.7,8.1,45.9,1.8,4.4,41.7,0.8,0.9,96.6,2.2,2.1,0.6,0.2,1,0,0
Patrick Williams,Power Forward,45,29.1,10,3.7,8.1,46,1.5,3.5,42.1,1.1,1.2,88.9,4.1,1.3,0.7,0.9,1.3,0,0
Jalen Smith,Power Forward,45,19.6,9.8,3.7,7.9,46.2,0.9,3.2,27.6,1.6,2.1,77.7,5.9,1,0.4,0.8,1.2,6,0
Killian Hayes,Point Guard,45,26.7,9.8,4,10.2,39,1.2,3.6,32.3,0.8,0.9,81,2.8,5.8,1.3,0.4,2,2,0
Derrick White,Point Guard,47,26,9.8,3.3,7.6,43.9,1.5,4.1,36.6,1.7,1.9,85.7,3,3.4,0.7,0.9,1,1,0
AJ Griffin,Forward,43,20.8,9.8,3.9,8,48.7,1.6,4.1,39.5,0.4,0.4,88.9,2.1,1,0.8,0.1,0.7,0,0
Gabe Vincent,Point Guard,33,25.5,9.7,3.5,8.5,41.4,1.6,5.1,32.3,1,1.2,84.6,2.2,2.8,0.9,0.1,1.5,0,0
Al Horford,Center,37,30.6,9.6,3.7,7.6,48.4,2.1,4.8,43.2,0.2,0.3,66.7,6.3,2.6,0.5,1,0.5,4,0
Ayo Dosunmu,Shooting Guard,43,27.7,9.6,3.9,7.7,50.6,0.9,2.7,32.8,0.9,1.1,79.6,3.1,2.6,0.7,0.3,1.4,0,0
Aaron Nesmith,Small Forward,41,23.4,9.5,3.3,7.9,41.7,1.4,4.1,35.1,1.5,1.7,87.1,3.7,1.2,0.8,0.4,1,1,0
Santi Aldama,Power Forward,42,22.5,9.5,3.4,7,48.6,1.3,3.5,38.1,1.4,2,71.1,4.9,1.2,0.7,0.8,0.7,2,0
Josh Hart,Shooting Guard,43,34.2,9.5,3.5,7.1,49.8,0.7,2,33,1.7,2.4,72.8,8.3,4,1.1,0.2,1.7,7,0
Zach Collins,Power Forward,35,20.5,9.5,3.7,6.7,54.2,0.6,1.6,37.5,1.5,2.1,72,5.7,2.5,0.4,0.7,1.9,2,0
Damion Lee,Shooting Guard,47,22.8,9.4,3,6.6,46.3,1.9,3.8,48.6,1.5,1.6,93.2,3.4,1.5,0.4,0.1,1.1,0,0
Corey Kispert,Small Forward,38,27.6,9.4,3.3,6.8,48.2,1.8,4.3,41.7,1.1,1.3,83.7,2.8,1.4,0.6,0.1,0.8,0,0
Jose Alvarado,Point Guard,45,21.8,9.4,3.4,8.3,41,1.5,4.3,34,1.1,1.4,79.4,2.5,3.2,1.2,0.2,1.4,0,0
Georges Niang,Small Forward,44,19.9,9.3,3.2,7.1,45.4,2.3,5.5,42,0.6,0.6,92.6,2.4,1.1,0.4,0.2,0.8,0,0
Royce O'Neale,Power Forward,42,34.8,9.3,3.2,8.2,39.4,2.2,5.6,40,0.6,0.8,68.6,4.9,4.1,0.9,0.7,1.7,2,1
Onyeka Okongwu,Power Forward,46,24.9,9.3,3.8,6.1,62.8,0,0.1,0,1.6,2.2,73,7.5,1,0.6,1.3,1,8,0
Chris Boucher,Power Forward,41,20.3,9.3,3.3,7,46.7,0.7,2.5,29.1,2,2.7,75.2,5.4,0.5,0.7,0.7,0.5,6,0
Jeremy Sochan,Forward,40,25.9,9.2,3.8,8.2,46.2,0.5,2,23.5,1.1,1.7,64.2,4.9,2.4,0.8,0.5,1.7,0,0
Cedi Osman,Small Forward,46,21.9,9.1,3.3,7.2,46.7,1.3,3.9,34.4,1.1,1.6,67.1,2.3,1.5,0.5,0.1,0.8,1,0
Grant Williams,Power Forward,46,27.6,9.1,3.1,6.4,48.8,1.5,3.7,40.9,1.4,1.6,86.3,4.7,1.7,0.7,0.4,1,1,0
Terance Mann,Shooting Guard,47,22.7,8.7,3.4,6.6,52.3,0.8,2.3,36.1,1,1.4,74.2,3.7,2,0.6,0.3,1,1,0
Kevin Love,Power Forward,40,20.2,8.7,2.8,7.1,39.1,1.7,4.9,35.6,1.4,1.6,88.9,7,1.9,0.2,0.2,1.2,5,0
Jarred Vanderbilt,Power Forward,47,24.4,8.6,3.4,6.2,55.9,0.4,1.1,34,1.3,1.9,68.9,8,2.8,1,0.3,1.4,7,0
Steven Adams,Center,41,26.9,8.6,3.8,6.2,60.6,0,0,0,1,3,35.2,11.4,2.3,0.8,1.1,1.9,14,0
Dorian Finney-Smith,Power Forward,33,31.5,8.5,3,7.5,40.2,1.8,5.4,34.5,0.6,0.9,69,4.1,1.3,0.9,0.5,0.9,0,0
Andrew Nembhard,Point Guard,43,27.3,8.4,3.3,7.7,42.9,1.3,3.7,35.4,0.5,0.6,91.7,3,4,1,0.2,1.7,2,0
Coby White,Point Guard,37,21.1,8.4,3,6.8,43.5,1.6,4.4,37.4,0.8,1,78.9,2.6,1.8,0.8,0.1,0.8,0,0
Nick Richards,Center,38,17.4,8.3,3.2,5.1,62.5,0,0,0,2,2.8,73.3,5.8,0.6,0.2,0.8,0.8,8,0
Joe Harris,Small Forward,38,24.6,8.2,3,6.8,44.4,1.8,4.7,39,0.4,0.6,66.7,2.8,1.6,0.6,0.3,0.7,0,0
Kyle Anderson,Small Forward,37,26.6,8.2,3.1,6.2,49.6,0.6,1.3,42.9,1.5,2,76,4.8,4.1,1.3,0.9,1.4,4,1
Torrey Craig,Small Forward,44,25.3,8.2,3.2,6.8,46.5,1.3,3.4,39.2,0.5,0.7,77.4,5.6,1.5,0.7,0.6,0.8,2,0
Tre Mann,Point Guard,41,19.3,8.1,3.2,8.1,39,1.3,4.3,31.1,0.5,0.7,70.4,2.4,1.6,0.7,0.2,1,0,0
Hamidou Diallo,Shooting Guard,40,16.5,8.1,3.3,5.7,57.3,0.1,0.5,27.8,1.5,2.6,56.7,3.5,0.9,0.8,0.2,1.1,0,0
Tari Eason,Forward,46,18.8,8.1,3.1,7.2,43.3,0.8,2,37.6,1.1,1.4,79.7,5.3,0.9,1.1,0.5,1,1,0
Donte DiVincenzo,Shooting Guard,36,24.4,8.1,2.8,6.9,39.9,1.8,4.8,37.4,0.8,1,82.9,4.7,3,1.3,0.1,1.4,1,0
Deni Avdija,Small Forward,44,25.8,8,2.9,7,42.2,0.8,3,27.7,1.3,1.7,76,6,2.5,0.8,0.5,1.5,5,0
Terrence Ross,Shooting Guard,42,22.5,8,3.1,7.1,43.1,1.5,3.8,38.1,0.4,0.5,75,2,1.3,0.6,0.2,0.9,0,0
Draymond Green,Power Forward,41,31.5,8,3.1,6.1,50.4,0.6,1.9,32.9,1.1,1.5,74.2,7.1,6.8,0.9,0.8,2.5,7,0
Daniel Gafford,Center,45,17.1,7.9,3.3,4.4,75.1,0,0,0,1.4,2.2,62.9,4.9,0.7,0.4,1.1,0.9,4,0
Isaiah Joe,Shooting Guard,38,14.4,7.9,2.5,5.3,47.3,1.9,4.3,45.4,0.9,1.1,80.5,2.2,1.1,0.6,0.1,0.4,0,0
Jalen Duren,Center,40,24.2,7.8,3.3,5.2,64.1,0,0,0,1.2,2,58.2,8.6,1,0.6,0.8,1.2,9,0
Anthony Lamb,Forward,38,20.1,7.6,2.7,5.3,51.2,1.5,3.5,41.8,0.7,0.9,76.5,3.3,1.6,0.6,0.3,1.1,0,0
Jonathan Kuminga,Power Forward,34,18.9,7.6,2.9,6.1,47.1,0.5,1.9,28.1,1.3,2,65.2,3.2,1.8,0.5,0.4,1.4,1,0
Kenrich Williams,Small Forward,38,21.8,7.5,3.1,5.9,52.9,0.9,2.3,41.9,0.3,0.7,42.9,4.8,1.7,0.7,0.3,0.4,1,0
Shaedon Sharpe,Shooting Guard,44,19.7,7.5,3.1,6.5,46.9,0.9,2.6,33.6,0.5,0.8,62.2,2.5,0.5,0.3,0.2,0.7,0,0
Will Barton,Small Forward,36,20.2,7.5,2.7,7.2,37.5,1.3,3.5,36.5,0.8,1.1,78.9,2.8,2.5,0.4,0.3,1.1,0,0
Larry Nance Jr.,Power Forward,36,22.3,7.5,3.2,5.3,61.4,0.3,0.7,38.5,0.8,1.2,66.7,5.4,1.9,0.9,0.8,0.8,0,0
Walker Kessler,Center,46,20,7.5,3.2,4.6,70.6,0,0,0,1,1.8,54.1,7.2,0.7,0.3,2,0.7,9,0
Ben Simmons,Point Guard,34,27.4,7.5,3.4,6,57.1,0,0,0,0.6,1.5,43.1,6.8,6.3,1.5,0.6,2.4,4,1
Mo Bamba,Center,37,17.4,7.3,2.7,5.4,49.5,1,2.7,38.4,0.9,1.3,69.4,4.8,1,0.3,1,0.6,1,0
Mitchell Robinson,Center,38,26.9,7.2,3.1,4.6,67.4,0,0,0,1,2,50.6,8.9,1,0.9,1.8,0.5,6,0
Jevon Carter,Point Guard,46,24.1,7.2,2.7,6.7,39.8,1.4,3.7,37.9,0.5,0.6,81.5,2.6,2.8,1.1,0.5,1.2,1,0
Goran Dragic,Point Guard,42,16.3,7.2,2.8,6.5,43.3,1,2.7,36.3,0.6,0.9,64.9,1.5,2.8,0.2,0.1,1.1,0,0
Isaiah Jackson,Small Forward,36,15.8,6.9,2.6,4.8,54.9,0,0.3,11.1,1.6,2.4,67.8,4.1,0.9,0.4,1.3,1,3,0
T.J. McConnell,Point Guard,45,18.6,6.9,3,5.9,50.6,0.3,0.6,42.9,0.7,0.8,91.4,2.8,4.8,1.1,0.1,1.6,3,1
Trey Lyles,Power Forward,39,15.3,6.9,2.4,5.2,45.5,1.1,3.1,35.3,1.1,1.4,76.8,3.7,0.8,0.3,0.5,0.8,1,0
Troy Brown Jr.,Small Forward,40,23.5,6.8,2.5,5.9,43,1.2,3.4,35.1,0.6,0.6,100,3.9,0.8,0.8,0.2,0.7,1,0
Talen Horton-Tucker,Shooting Guard,39,15.3,6.8,2.5,6.4,39.5,0.7,2.6,25.5,1.1,1.4,75,2.4,2.3,0.7,0.3,1.2,1,0
Kendrick Nunn,Guard,38,13.5,6.8,2.6,6.5,40.7,1.1,3.3,33.1,0.4,0.5,84.2,1.3,0.9,0.3,0.1,0.8,0,0
Jordan Goodwin,Guard,35,18.9,6.7,2.6,5.6,46.2,0.7,1.8,39.7,0.8,1.1,73.7,3.5,2.7,1,0.5,1,0,0
Jock Landale,Center,39,14.7,6.7,2.5,4.7,51.9,0.3,1.4,24.1,1.4,1.7,83.6,4.1,0.9,0.2,0.6,0.9,2,0
Yuta Watanabe,Small Forward,32,18.1,6.6,2.4,4.6,52.7,1.3,2.6,50,0.5,0.8,68,2.7,0.8,0.5,0.3,0.4,0,0
Wenyen Gabriel,Forward,37,16.2,6.6,2.7,4.4,62,0.2,0.7,36,0.9,1.3,70.8,4.2,0.5,0.4,0.7,0.7,0,0
John Konchar,Shooting Guard,41,23.9,6.6,2.5,5.6,44.7,1.1,3.1,36.7,0.5,0.6,87,5.1,1.5,1.1,0.3,0.6,2,0
David Roddy,Forward,39,18.6,6.6,2.5,6.1,41.5,0.9,3.2,29,0.6,1.1,58.1,2.8,0.7,0.4,0.3,0.8,0,0
Edmond Sumner,Point Guard,37,13.9,6.5,2.2,4.9,45.3,0.5,1.6,28.8,1.6,1.8,92.4,1.5,1.4,0.7,0.2,0.9,0,0
Kevon Looney,Forward,46,23.5,6.5,2.7,4.3,63.5,0,0,0,1.1,1.7,63.3,8.7,2.8,0.5,0.5,0.5,5,0
Terence Davis,Shooting Guard,34,13,6.5,2.3,5.5,42,1.3,3.6,34.7,0.6,0.6,86.4,2.5,1.3,0.8,0.3,0.9,0,0
Jordan Nwora,Small Forward,33,16.5,6.5,2.1,5.5,38.3,1.2,2.8,41.5,1.1,1.3,85.7,3.2,1,0.3,0.2,1,0,0
Aaron Wiggins,Shooting Guard,35,18.1,6.4,2.4,4.9,49.1,0.7,1.7,38.3,0.9,1.1,78.9,3.3,1.5,0.5,0.2,0.9,1,0
Reggie Bullock,Small Forward,45,29.5,6.3,2.1,5.5,38.6,1.7,4.6,36.1,0.4,0.6,65.4,3.4,1.2,0.8,0.2,0.5,0,0
Nicolas Batum,Power Forward,45,21.9,6.2,2.1,5,42.9,1.6,3.9,39.5,0.4,0.7,63.3,4.2,1.4,0.6,0.7,0.7,0,0
Andre Drummond,Center,34,13.5,6.2,2.6,4.4,60.1,0,0.1,0,0.9,1.7,56.1,6.8,0.7,0.6,0.3,1.1,4,0
Montrezl Harrell,Center,42,13,6.1,2.3,3.9,59.8,0,0,0,1.4,2,69.4,2.9,0.7,0.3,0.6,0.7,0,0
Dwight Powell,Center,42,18,6,2.3,3.1,73.1,0,0.1,0,1.5,2.1,71.1,3.8,0.6,0.5,0.4,0.8,0,0
Davion Mitchell,Point Guard,44,18.5,6,2.4,5.3,46.1,0.8,2.5,34.3,0.3,0.4,73.7,1.4,2.2,0.5,0.3,0.9,0,0
Patrick Beverley,Point Guard,37,26.3,6,2,5.1,39.5,1.2,3.4,34.1,0.8,0.9,82.9,3.3,2.4,0.8,0.5,0.9,0,0
Kevin Knox II,Small Forward,37,14.6,6,2.1,4.5,46.7,1.1,2.9,37,0.7,0.9,78.8,2.4,0.4,0.3,0.3,0.7,0,0
Derrick Jones Jr.,Small Forward,34,15.1,5.9,2.1,4,53.3,0.4,1.2,34.1,1.3,1.6,79.6,2.5,0.6,0.4,0.7,0.5,0,0
Oshae Brissett,Small Forward,42,16.5,5.9,1.8,4.6,39.5,0.8,2.5,32.4,1.4,2,69.8,3.4,0.6,0.6,0.2,0.5,1,0
Isaac Okoro,Small Forward,48,19.7,5.8,2.1,4.3,47.6,0.7,2,34,1,1.3,73.4,2.5,0.8,0.8,0.4,0.6,0,0
Austin Rivers,Shooting Guard,36,21,5.6,2,4.3,47.1,0.9,2.5,38.2,0.7,0.8,86.2,1.7,1.5,0.6,0.1,0.6,0,0
Mike Muscala,Center,35,14.3,5.6,1.9,4.5,41.5,1.2,3.2,36.3,0.7,0.9,77.4,3.1,0.9,0.3,0.5,0.4,0,0
Sam Hauser,Small Forward,45,14.6,5.6,2,4.4,44,1.5,3.8,39.6,0.2,0.3,61.5,2.4,0.7,0.3,0.2,0.3,0,0
Drew Eubanks,Power Forward,43,18.3,5.6,2.3,3.2,73,0.1,0.1,60,0.8,1.3,65.5,4.3,1,0.5,1.1,0.8,1,0
Theo Maledon,Point Guard,35,16.1,5.5,1.8,4.3,40.8,0.6,1.8,32.3,1.4,1.6,87.5,2.4,2.5,0.8,0.2,1,0,0
Alex Caruso,Shooting Guard,39,24.4,5.5,1.9,4.4,43,0.9,2.2,39.1,0.8,1.1,75,2.9,3.5,1.7,0.7,1.3,1,0
Josh Okogie,Small Forward,40,13,5.3,1.7,4.1,42,0.5,1.7,28.8,1.4,1.9,72.4,3.1,1.2,0.6,0.5,0.8,2,0
Jalen Johnson,Small Forward,44,14.6,5.3,2,4.2,47.6,0.5,1.6,29,0.8,1.1,71.4,3.5,1,0.5,0.5,0.5,1,0
Malachi Flynn,Point Guard,33,14.5,5.2,1.9,5.1,37.1,1.1,2.8,38.5,0.4,0.5,76.5,1.5,1.5,0.3,0.1,0.5,0,0
Moses Moody,Shooting Guard,39,14.8,5.2,1.8,4,45.2,0.9,2.5,36.7,0.7,0.9,70.3,1.7,0.9,0.3,0.1,0.7,0,0
George Hill,Point Guard,34,19.6,5.1,1.7,3.9,44.7,0.7,2.2,31.1,1,1.4,73.9,2,2.6,0.6,0.1,0.8,0,0
Devonte' Graham,Point Guard,46,15.2,5,1.5,4.3,35,1.1,3.4,32.9,0.9,1.2,75.5,1.5,2.2,0.5,0.2,0.5,0,0
Isaiah Hartenstein,Center,47,18.5,5,2.1,4.3,48.8,0.2,0.7,24.2,0.7,0.9,75.6,6.1,0.7,0.6,0.7,0.8,1,0
Chimezie Metu,Power Forward,33,10.7,5,2.1,3.5,59.6,0.2,0.6,23.8,0.7,0.8,85.2,3.1,0.6,0.3,0.2,0.6,0,0
Thaddeus Young,Power Forward,37,16.5,4.9,2.2,4,55.4,0.1,0.6,16.7,0.4,0.5,73.7,3.6,1.6,1.1,0.1,0.8,0,0
Zeke Nnaji,Power Forward,36,12.3,4.9,2,3.3,60,0.2,0.8,27.6,0.7,1,67.6,1.9,0.3,0.3,0.3,0.4,0,0
Vlatko Cancar,Small Forward,33,14.1,4.9,1.8,3.6,50,0.9,1.8,47.5,0.4,0.5,93.3,2.1,1.2,0.4,0.2,0.7,1,0
Garrison Mathews,Shooting Guard,39,12.9,4.8,1.3,3.7,35.9,1.2,3.4,35.6,1,1.1,92.7,1.3,0.5,0.5,0.1,0.4,0,0
Danuel House Jr.,Small Forward,34,15.6,4.7,1.6,3.4,47.4,0.7,2,34.8,0.8,1.1,75,1.9,0.7,0.2,0.2,0.5,0,0
Cory Joseph,Point Guard,35,15.6,4.6,1.7,4.2,39.2,0.6,1.8,31.3,0.7,1,76.5,1.3,3.1,0.4,0.1,0.7,0,0
Aaron Holiday,Guard,42,15.6,4.5,1.7,4,41.7,0.6,1.5,41.3,0.5,0.6,84.6,1.4,1.5,0.6,0.2,0.6,0,0
Haywood Highsmith,Forward,34,19,4.4,1.8,4.4,40,0.7,2.2,33.3,0.2,0.5,37.5,3.7,0.7,0.8,0.3,0.9,1,0
Dyson Daniels,Guard,37,20,4.4,1.7,3.9,43.8,0.5,1.5,33.9,0.4,0.7,59.3,3.5,2.4,0.9,0.2,1.1,0,0
Bismack Biyombo,Center,37,14,3.8,1.7,3.1,56.1,0,0,0,0.4,1.3,29.8,4.2,0.8,0.3,1.3,0.9,2,0
Christian Koloko,Center,40,15.6,3.8,1.5,3,49.2,0,0.2,11.1,0.9,1.3,66,3.4,0.5,0.3,1.1,0.5,0,0
Jericho Sims,Center,34,13,3.8,1.8,2.2,78.9,0,0,0,0.2,0.3,80,4.3,0.4,0.2,0.6,0.4,2,0
Luke Kornet,Center,40,11.6,3.8,1.6,2.3,69.9,0.1,0.2,42.9,0.4,0.5,85,3.1,0.7,0.2,0.8,0.4,0,0
Amir Coffey,Shooting Guard,35,14,3.7,1.2,3.2,37.5,0.3,0.9,30.3,1.1,1.3,80.4,1.2,1.3,0.2,0.1,0.4,0,0
Miles McBride,Point Guard,35,13.4,3.5,1.3,3.7,34.4,0.7,2.4,27.7,0.4,0.5,68.4,0.8,1.1,0.6,0,0.4,0,0
Juancho Hernangomez,Power Forward,34,15.9,3.5,1.4,3.1,45.2,0.5,1.7,27.6,0.2,0.4,57.1,3.2,0.6,0.4,0.2,0.4,1,0
Daishen Nix,Shooting Guard,35,14.1,3.3,1.1,3.1,35.5,0.7,2.1,32.9,0.5,0.7,68,1.5,2.4,0.7,0.1,1.4,0,0
Christian Braun,Guard,42,13.1,3.3,1.3,3,45.2,0.3,1,31.7,0.3,0.6,56,1.9,0.5,0.3,0.2,0.4,0,0
P.J. Tucker,Power Forward,44,26.7,3.3,1.2,2.8,40.8,0.7,1.7,38.7,0.3,0.3,85.7,4.1,0.8,0.5,0.3,0.8,0,0
Paul Reed,Small Forward,36,9.9,3.3,1.4,2.5,56.7,0,0.1,0,0.4,0.6,75,3.4,0.4,0.7,0.6,0.6,3,0
Usman Garuba,Power Forward,44,14,3,1.2,2.4,51,0.2,0.5,40.9,0.4,0.8,52.8,4.8,1,0.7,0.5,0.7,0,0
Anthony Gill,Power Forward,35,9.5,2.9,1.2,2,59.4,0.1,0.5,11.8,0.5,0.6,81.8,1.3,0.5,0.1,0.1,0.1,0,0
JT Thor,Forward,34,10.7,2.7,0.9,2.6,36.4,0.4,1.4,26.5,0.4,0.6,70,1.7,0.4,0.2,0.2,0.5,0,0
Matisse Thybulle,Shooting Guard,42,12.1,2.4,1,2.3,41.7,0.4,1.3,30.2,0.1,0.1,50,1.2,0.5,0.8,0.3,0.2,0,0
KZ Okpala,Small Forward,33,7.3,1.4,0.5,1.1,44.4,0.2,0.6,35,0.2,0.2,100,1,0.4,0.2,0.2,0.2,0,0